0.6386006852790667,2021-07-14 04:43:09.899585,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 614, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 105, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 100, 'optimizer': 'adam', 'lrAdam': 5.214676344123503e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 4}
0.6165746623271513,2021-07-14 04:48:52.754000,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 329, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 12, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 57, 'optimizer': 'adam', 'lrAdam': 2.0768619580683154e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 14}
0.6618948414598825,2021-07-14 04:55:41.376901,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 338, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 170, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 54, 'optimizer': 'adam', 'lrAdam': 2.3438385097281115e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 14}
0.6316334936148856,2021-07-14 05:02:50.256518,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 435, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 75, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 77, 'optimizer': 'adam', 'lrAdam': 6.316838842542246e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 29}
0.6152096645381797,2021-07-14 05:14:31.150373,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 443, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 85, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 59, 'optimizer': 'adam', 'lrAdam': 6.32942084150208e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 36}
0.6715581452145297,2021-07-14 05:28:16.808223,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 466, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 353, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 57, 'optimizer': 'adam', 'lrAdam': 5.4017453635986336e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 16}
0.6556940727681689,2021-07-14 05:37:06.442848,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 231, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 109, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 40, 'optimizer': 'adam', 'lrAdam': 6.762057727884222e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 40}
0.6776286634867406,2021-07-14 05:50:34.192152,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 327, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 994, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 43, 'optimizer': 'adam', 'lrAdam': 2.663944689486931e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 21}
0.6235951208600811,2021-07-14 06:05:44.464386,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 554, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 191, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 60, 'optimizer': 'adam', 'lrAdam': 1.1105530490105165e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 15}
0.6251274885530935,2021-07-14 06:15:13.209147,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 582, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 198, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 59, 'optimizer': 'adam', 'lrAdam': 8.331135185070573e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 20}
0.630663835227305,2021-07-14 06:27:00.618887,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 556, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 218, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 60, 'optimizer': 'adam', 'lrAdam': 9.100819614143223e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 19}
0.6761098822696044,2021-07-14 06:43:44.354413,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 525, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 319, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 48, 'optimizer': 'adam', 'lrAdam': 1.2583623009649176e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 19}
0.6295165634253692,2021-07-14 07:10:47.643569,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 558, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 162, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 28, 'optimizer': 'adam', 'lrAdam': 1.5812293228002118e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 11}
0.6752480142379816,2021-07-14 07:32:30.729827,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 725, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 470, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 63, 'optimizer': 'adam', 'lrAdam': 2.851216249066692e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 24}
